0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:01 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:01 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:02 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:02 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:09 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:09 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:29 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:29 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:33 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:33 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:34 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:34 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:39 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:39 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:40 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:40 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:45 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:45:45 +0545] "GET /MyTestJavaPrj1/Css/login.css HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [06/Mar/2025:09:46:08 +0545] "GET /MyTestJavaPrj1/pages/Login.jsp HTTP/1.1" 200 647
